Parula;;;turbo;;;hsv;;;hot;;;cool;;;spring;;;summer;;;autumn;;;winter;;;bone;;;pink;;;jet;;;lines;;;colorcube;;;prism;;;flag;;
62;38;168;48;18;59;255;0;0;3;0;0;0;255;255;255;0;255;0;128;102;255;0;0;0;0;255;0;0;0;15;0;0;0;0;131;0;114;189;51;51;0;255;0;0;255;0;0
62;39;172;50;21;67;255;6;0;5;0;0;1;254;255;255;1;254;1;128;102;255;1;0;0;1;255;1;1;2;25;13;13;0;0;135;217;83;25;51;102;0;255;128;0;255;255;255
63;40;175;51;24;74;255;12;0;8;0;0;2;253;255;255;2;253;2;129;102;255;2;0;0;2;254;2;2;3;32;18;18;0;0;139;237;177;32;51;153;0;255;255;0;0;0;255
63;41;178;52;27;81;255;18;0;11;0;0;3;252;255;255;3;252;3;129;102;255;3;0;0;3;254;3;3;4;38;23;23;0;0;143;126;47;142;51;204;0;0;255;0;0;0;0
64;42;180;53;30;88;255;24;0;13;0;0;4;251;255;255;4;251;4;130;102;255;4;0;0;4;253;4;4;5;43;26;26;0;0;147;119;172;48;51;255;0;0;0;255;255;0;0
64;43;183;54;33;95;255;30;0;16;0;0;5;250;255;255;5;250;5;130;102;255;5;0;0;5;253;4;4;6;47;29;29;0;0;151;77;190;238;102;51;0;170;0;255;255;255;255
65;44;186;55;36;102;255;36;0;19;0;0;6;249;255;255;6;249;6;131;102;255;6;0;0;6;252;5;5;8;51;32;32;0;0;155;162;20;47;102;102;0;255;0;0;0;0;255
65;45;189;56;39;109;255;42;0;21;0;0;7;248;255;255;7;248;7;131;102;255;7;0;0;7;252;6;6;9;55;34;34;0;0;159;0;114;189;102;153;0;255;128;0;0;0;0
66;46;191;57;42;115;255;48;0;24;0;0;8;247;255;255;8;247;8;132;102;255;8;0;0;8;251;7;7;10;58;37;37;0;0;163;217;83;25;102;204;0;255;255;0;255;0;0
66;47;194;58;45;121;255;54;0;27;0;0;9;246;255;255;9;246;9;132;102;255;9;0;0;9;251;8;8;11;62;39;39;0;0;167;237;177;32;102;255;0;0;255;0;255;255;255
67;48;197;59;47;128;255;60;0;29;0;0;10;245;255;255;10;245;10;133;102;255;10;0;0;10;250;9;9;12;65;41;41;0;0;171;126;47;142;153;51;0;0;0;255;0;0;255
67;49;200;60;50;134;255;66;0;32;0;0;11;244;255;255;11;244;11;133;102;255;11;0;0;11;250;10;10;14;68;43;43;0;0;175;119;172;48;153;102;0;170;0;255;0;0;0
67;50;202;61;53;139;255;72;0;35;0;0;12;243;255;255;12;243;12;134;102;255;12;0;0;12;249;11;11;15;71;45;45;0;0;179;77;190;238;153;153;0;255;0;0;255;0;0
68;51;205;62;56;145;255;78;0;37;0;0;13;242;255;255;13;242;13;134;102;255;13;0;0;13;249;11;11;16;73;47;47;0;0;183;162;20;47;153;204;0;255;128;0;255;255;255
68;52;208;63;59;151;255;84;0;40;0;0;14;241;255;255;14;241;14;135;102;255;14;0;0;14;248;12;12;17;76;49;49;0;0;187;0;114;189;153;255;0;255;255;0;0;0;255
69;53;210;63;62;156;255;90;0;43;0;0;15;240;255;255;15;240;15;135;102;255;15;0;0;15;248;13;13;18;79;50;50;0;0;191;217;83;25;204;51;0;0;255;0;0;0;0
69;55;213;64;64;162;255;96;0;45;0;0;16;239;255;255;16;239;16;136;102;255;16;0;0;16;247;14;14;20;81;52;52;0;0;195;237;177;32;204;102;0;0;0;255;255;0;0
69;56;215;65;67;167;255;102;0;48;0;0;17;238;255;255;17;238;17;136;102;255;17;0;0;17;247;15;15;21;83;54;54;0;0;199;126;47;142;204;153;0;170;0;255;255;255;255
70;57;217;65;70;172;255;108;0;50;0;0;18;237;255;255;18;237;18;137;102;255;18;0;0;18;246;16;16;22;86;55;55;0;0;203;119;172;48;204;204;0;255;0;0;0;0;255
70;58;220;66;73;177;255;114;0;53;0;0;19;236;255;255;19;236;19;137;102;255;19;0;0;19;246;17;17;23;88;57;57;0;0;207;77;190;238;204;255;0;255;128;0;0;0;0
70;59;222;66;75;181;255;120;0;56;0;0;20;235;255;255;20;235;20;138;102;255;20;0;0;20;245;18;18;24;90;58;58;0;0;211;162;20;47;255;51;0;255;255;0;255;0;0
70;61;224;67;78;186;255;126;0;58;0;0;21;234;255;255;21;234;21;138;102;255;21;0;0;21;244;18;18;26;92;60;60;0;0;215;0;114;189;255;102;0;0;255;0;255;255;255
71;62;225;68;81;191;255;131;0;61;0;0;22;233;255;255;22;233;22;139;102;255;22;0;0;22;244;19;19;27;95;61;61;0;0;219;217;83;25;255;153;0;0;0;255;0;0;255
71;63;227;68;84;195;255;137;0;64;0;0;23;232;255;255;23;232;23;139;102;255;23;0;0;23;243;20;20;28;97;63;63;0;0;223;237;177;32;255;204;0;170;0;255;0;0;0
